UTC time;Satellites;Speed (km/h);Elapsed time (s);Distance (m)
85.650.000;6;0.94;0.00;0.00
85.650.050;6;1.22;0.05;0.01
85.650.100;6;1.50;0.10;0.03
85.650.150;6;1.69;0.15;0.06
85.650.200;6;1.54;0.20;0.08
85.650.250;6;1.46;0.25;0.10
85.650.300;6;1.95;0.30;0.12
85.650.350;6;2.42;0.35;0.15
85.650.400;6;2.29;0.40;0.19
85.650.450;6;2.09;0.45;0.22
85.650.500;6;2.37;0.50;0.25
85.650.550;6;2.54;0.55;0.28
85.650.600;6;2.05;0.60;0.31
85.650.650;6;1.45;0.65;0.34
85.650.700;6;1.17;0.70;0.36
85.650.750;6;0.97;0.75;0.37
85.650.800;6;0.72;0.80;0.38
85.650.850;6;0.53;0.85;0.39
85.650.900;0;0.00;0.90;0.39
85.650.950;0;0.00;0.95;0.39
85.651.000;0;0.00;1.00;0.39
85.651.050;0;0.00;1.05;0.39
85.651.100;0;0.00;1.10;0.39
85.651.150;0;0.00;1.15;0.39
85.651.200;0;0.00;1.20;0.39
85.651.250;0;0.00;1.25;0.39
85.651.300;0;0.00;1.30;0.39
85.651.350;0;0.00;1.35;0.39
85.651.400;0;0.00;1.40;0.39
85.651.450;0;0.00;1.45;0.39
85.651.500;0;0.00;1.50;0.39
85.651.550;0;0.00;1.55;0.39
85.651.600;0;0.00;1.60;0.39
85.651.650;0;0.00;1.65;0.39
85.651.700;0;0.00;1.70;0.39
85.651.750;0;0.00;1.75;0.39
85.651.800;0;0.00;1.80;0.39
85.652.200;3;1.09;1.85;0.42
85.652.250;3;1.21;1.90;0.44
85.652.300;3;1.62;1.95;0.46
85.652.350;3;1.96;2.00;0.48
85.652.400;3;1.87;2.05;0.51
85.652.450;3;1.66;2.10;0.54
85.652.500;3;1.50;2.15;0.56
85.652.550;3;1.43;2.20;0.58
85.652.600;3;1.61;2.25;0.60
85.652.650;3;1.77;2.30;0.62
85.652.700;3;1.58;2.35;0.65
85.652.750;3;1.39;2.40;0.67
85.652.800;3;1.54;2.45;0.69
85.652.850;3;1.74;2.50;0.71
85.652.900;0;0.00;2.55;0.71
85.652.950;0;0.00;2.60;0.71
85.653.000;0;0.00;2.65;0.71
85.653.050;0;0.00;2.70;0.71
85.653.100;0;0.00;2.75;0.71
85.653.150;0;0.00;2.80;0.71
85.653.200;0;0.00;2.85;0.71
85.653.250;0;0.00;2.90;0.71
85.653.300;0;0.00;2.95;0.71
85.653.350;0;0.00;3.00;0.71
85.653.400;0;0.00;3.05;0.71
85.653.450;0;0.00;3.10;0.71
85.653.500;0;0.00;3.15;0.71
85.653.550;0;0.00;3.20;0.71
85.653.600;0;0.00;3.25;0.71
85.653.650;0;0.00;3.30;0.71
85.653.700;0;0.00;3.35;0.71
85.653.750;0;0.00;3.40;0.71
85.653.800;0;0.00;3.45;0.71
85.653.850;0;0.00;3.50;0.71
85.653.900;0;0.00;3.55;0.71
85.653.950;0;0.00;3.60;0.71
85.657.250;4;0.86;3.65;0.87
85.657.300;4;0.79;3.70;0.89
85.657.350;4;0.68;3.75;0.90
85.657.400;4;0.56;3.80;0.90
85.657.450;4;0.48;3.85;0.90
85.657.500;4;0.50;3.90;0.90
85.657.550;4;0.55;3.95;0.91
85.657.600;4;0.54;4.00;0.92
85.657.650;4;0.61;4.05;0.92
85.657.700;4;0.91;4.10;0.93
85.657.750;4;1.26;4.15;0.95
85.657.800;4;1.56;4.20;0.97
85.657.850;4;1.68;4.25;0.99
85.657.900;4;1.28;4.30;1.01
85.657.950;4;0.85;4.35;1.03
85.658.000;4;0.88;4.40;1.04
85.658.050;4;0.99;4.45;1.05
85.658.100;4;0.88;4.50;1.07
85.658.150;4;0.78;4.55;1.08
85.658.200;4;0.87;4.60;1.09
85.658.250;4;1.03;4.65;1.10
85.658.300;4;1.31;4.70;1.12
85.658.350;4;1.50;4.75;1.14
85.658.400;4;1.31;4.80;1.16
85.658.450;4;1.04;4.85;1.17
85.658.500;4;0.89;4.90;1.19
85.658.550;4;0.83;4.95;1.20
85.658.600;4;0.94;5.00;1.21
85.658.650;4;1.03;5.05;1.22
85.658.700;4;0.77;5.10;1.24
85.658.750;4;0.49;5.15;1.24
85.658.800;4;0.43;5.20;1.24
85.658.850;4;0.46;5.25;1.24
85.658.900;4;0.56;5.30;1.24
85.658.950;4;0.67;5.35;1.25
85.659.000;4;0.62;5.40;1.26
85.659.050;4;0.57;5.45;1.26
85.659.100;4;0.64;5.50;1.27
85.659.150;4;0.74;5.55;1.28
85.659.200;4;0.76;5.60;1.29
85.659.250;4;0.90;5.65;1.30
85.659.300;4;1.57;5.70;1.32
85.659.350;4;2.13;5.75;1.35
85.659.400;4;1.85;5.80;1.38
85.659.450;4;1.46;5.85;1.40
85.659.500;4;1.57;5.90;1.42
85.659.550;4;1.73;5.95;1.44
85.659.600;4;1.59;6.00;1.47
85.659.650;4;1.36;6.05;1.49
85.659.700;4;1.05;6.10;1.50
85.659.750;4;0.83;6.15;1.52
85.659.800;4;0.95;6.20;1.53
85.659.850;4;1.15;6.25;1.54
85.659.900;4;1.25;6.30;1.56
85.659.950;4;1.26;6.35;1.58
85.700.000;4;0.96;6.40;1.59
85.700.050;4;0.79;6.45;1.60
85.700.100;4;1.31;6.50;1.62
85.700.150;4;1.86;6.55;1.64
85.700.200;4;1.82;6.60;1.67
85.700.250;4;1.66;6.65;1.69
85.700.300;4;1.71;6.70;1.71
85.700.350;4;1.79;6.75;1.74
85.700.400;4;1.84;6.80;1.76
85.700.450;4;1.88;6.85;1.79
85.700.500;4;1.83;6.90;1.81
85.700.550;4;1.81;6.95;1.84
85.700.600;4;1.98;7.00;1.87
85.700.650;4;2.17;7.05;1.90
85.700.700;4;2.30;7.10;1.93
85.700.750;4;2.29;7.15;1.96
85.700.800;4;1.98;7.20;1.99
85.700.850;4;1.56;7.25;2.01
85.700.900;6;1.12;7.30;2.03
85.700.950;6;0.74;7.35;2.04
85.701.000;6;0.55;7.40;2.05
85.701.050;6;0.46;7.45;2.05
85.701.100;6;0.39;7.50;2.05
85.701.150;6;0.36;7.55;2.05
85.701.200;6;0.38;7.60;2.05
85.701.250;6;0.40;7.65;2.05
85.701.300;6;0.37;7.70;2.05
85.701.350;6;0.31;7.75;2.05
85.701.400;6;0.24;7.80;2.05
85.701.450;6;0.18;7.85;2.05
85.701.500;6;0.16;7.90;2.05
85.701.550;6;0.16;7.95;2.05
85.701.600;6;0.16;8.00;2.05
85.701.650;6;0.19;8.05;2.05
85.701.700;6;0.30;8.10;2.05
85.701.750;6;0.39;8.15;2.05
85.701.800;6;0.34;8.20;2.05
85.701.850;6;0.26;8.25;2.05
85.701.900;6;0.22;8.30;2.05
85.701.950;6;0.21;8.35;2.05
85.702.000;6;0.26;8.40;2.05
85.702.500;6;0.96;8.45;2.10
85.702.550;6;1.26;8.50;2.11
85.702.600;6;1.25;8.55;2.13
85.702.650;6;1.25;8.60;2.15
85.702.700;6;1.52;8.65;2.17
85.702.750;6;1.82;8.70;2.19
85.702.800;6;1.95;8.75;2.22
85.702.850;6;2.01;8.80;2.24
85.702.900;0;0.00;8.85;2.24
85.702.950;0;0.00;8.90;2.24
85.703.000;0;0.00;8.95;2.24
85.703.050;0;0.00;9.00;2.24
85.703.100;0;0.00;9.05;2.24
85.703.150;0;0.00;9.10;2.24
85.703.200;0;0.00;9.15;2.24
85.703.250;0;0.00;9.20;2.24
85.703.300;0;0.00;9.25;2.24
85.703.350;0;0.00;9.30;2.24
85.703.400;0;0.00;9.35;2.24
85.703.450;0;0.00;9.40;2.24
85.703.500;0;0.00;9.45;2.24
85.703.550;0;0.00;9.50;2.24
85.703.600;0;0.00;9.55;2.24
85.703.650;0;0.00;9.60;2.24
85.703.700;0;0.00;9.65;2.24
85.703.750;0;0.00;9.70;2.24
85.703.800;0;0.00;9.75;2.24
85.703.850;0;0.00;9.80;2.24
85.703.900;0;0.00;9.85;2.24
85.703.950;0;0.00;9.90;2.24
85.731.700;6;1.50;9.95;6.10
85.731.750;6;2.36;10.00;6.12
85.731.800;6;2.24;10.05;6.16
85.731.850;6;1.88;10.10;6.18
85.731.900;5;1.83;10.15;6.21
85.731.950;5;1.75;10.20;6.24
85.732.000;5;1.39;10.25;6.26
85.732.050;5;1.02;10.30;6.27
85.732.100;5;0.80;10.35;6.29
85.732.150;5;0.83;10.40;6.30
85.732.200;5;1.42;10.45;6.31
85.732.250;5;2.20;10.50;6.34
85.732.300;5;2.96;10.55;6.37
85.732.350;5;3.58;10.60;6.42
85.732.400;5;3.96;10.65;6.47
85.732.450;5;3.89;10.70;6.53
85.732.500;5;2.91;10.75;6.57
85.732.550;5;1.78;10.80;6.61
85.732.600;5;1.18;10.85;6.63
85.732.650;5;0.86;10.90;6.64
85.732.700;5;0.86;10.95;6.65
85.732.750;5;0.91;11.00;6.67
85.732.800;5;0.63;11.05;6.68
85.732.850;5;0.40;11.10;6.68
85.732.900;4;0.64;11.15;6.68
85.732.950;4;0.90;11.20;6.69
85.733.000;4;0.81;11.25;6.70
85.733.050;4;0.64;11.30;6.71
85.733.100;4;0.54;11.35;6.72
85.733.150;4;0.50;11.40;6.72
85.733.200;4;0.65;11.45;6.72
85.733.250;4;0.81;11.50;6.73
85.733.300;4;0.79;11.55;6.75
85.733.350;4;0.74;11.60;6.76
85.733.400;4;0.81;11.65;6.77
85.733.450;4;0.86;11.70;6.78
85.733.500;4;0.82;11.75;6.79
85.733.550;4;0.77;11.80;6.80
85.733.600;4;0.84;11.85;6.81
85.733.650;4;0.89;11.90;6.82
85.733.700;4;0.74;11.95;6.84
85.733.750;4;0.57;12.00;6.84
85.733.800;4;0.53;12.05;6.85
85.733.850;4;0.54;12.10;6.86
85.733.900;3;0.59;12.15;6.87
85.733.950;3;0.68;12.20;6.88
85.734.000;3;0.84;12.25;6.89
85.734.050;3;0.97;12.30;6.90
85.734.100;3;0.92;12.35;6.91
85.734.150;3;0.86;12.40;6.92
85.734.200;3;0.93;12.45;6.94
85.734.250;3;0.99;12.50;6.95
85.734.300;3;0.87;12.55;6.96
85.734.350;3;0.79;12.60;6.98
85.734.400;3;0.95;12.65;6.99
85.734.450;3;1.12;12.70;7.00
85.734.500;3;1.06;12.75;7.02
85.734.550;3;0.97;12.80;7.03
85.734.600;3;0.99;12.85;7.04
85.734.650;3;0.97;12.90;7.06
85.734.700;3;0.79;12.95;7.07
85.734.750;3;0.60;13.00;7.08
85.734.800;3;0.50;13.05;7.08
85.734.850;3;0.61;13.10;7.08
85.734.900;4;1.34;13.15;7.10
85.734.950;4;1.97;13.20;7.12
85.735.000;4;1.59;13.25;7.15
85.735.050;4;1.12;13.30;7.16
85.735.100;4;1.38;13.35;7.18
85.735.150;4;1.69;13.40;7.20
85.735.200;4;1.54;13.45;7.23
85.735.250;4;1.31;13.50;7.25
85.735.300;4;1.32;13.55;7.26
85.735.350;4;1.29;13.60;7.28
85.735.400;4;0.95;13.65;7.30
85.735.450;4;0.64;13.70;7.31
85.735.500;4;0.72;13.75;7.32
85.735.550;4;0.98;13.80;7.33
85.735.600;4;1.41;13.85;7.35
85.735.650;4;1.69;13.90;7.37
85.735.700;4;1.32;13.95;7.39
85.735.750;4;0.81;14.00;7.40
85.735.800;4;0.58;14.05;7.41
85.735.850;4;0.47;14.10;7.41
85.735.900;4;0.50;14.15;7.41
85.735.950;4;0.54;14.20;7.42
85.736.000;4;0.41;14.25;7.42
85.736.050;4;0.28;14.30;7.42
85.736.100;4;0.28;14.35;7.42
85.736.150;4;0.33;14.40;7.42
85.736.200;4;0.41;14.45;7.42
85.736.250;4;0.49;14.50;7.42
85.736.300;4;0.48;14.55;7.42
85.736.350;4;0.48;14.60;7.42
85.736.400;4;0.62;14.65;7.42
85.736.450;4;0.73;14.70;7.43
85.736.500;4;0.59;14.75;7.44
85.736.550;4;0.42;14.80;7.44
85.736.600;4;0.35;14.85;7.44
85.736.650;4;0.35;14.90;7.44
85.736.700;4;0.46;14.95;7.44
85.736.750;4;0.57;15.00;7.44
85.736.800;4;0.46;15.05;7.44
85.737.450;4;0.85;15.10;7.51
85.737.500;4;0.76;15.15;7.52
85.737.550;4;0.65;15.20;7.53
85.737.600;4;0.69;15.25;7.54
85.737.650;4;0.72;15.30;7.55
85.737.700;4;0.61;15.35;7.56
85.737.750;4;0.46;15.40;7.56
85.737.800;4;0.32;15.45;7.56
85.737.850;4;0.22;15.50;7.56
85.737.900;4;0.24;15.55;7.56
85.737.950;4;0.29;15.60;7.56
85.738.000;4;0.24;15.65;7.56
85.738.050;4;0.20;15.70;7.56
85.738.100;4;0.19;15.75;7.56
85.738.150;4;0.30;15.80;7.56
85.738.200;4;0.76;15.85;7.56
85.738.250;4;1.19;15.90;7.58
85.738.300;4;1.14;15.95;7.59
85.738.350;4;0.93;16.00;7.61
85.738.400;4;0.69;16.05;7.62
85.738.450;4;0.46;16.10;7.62
85.738.500;4;0.39;16.15;7.62
85.738.550;4;0.38;16.20;7.62
85.738.600;4;0.35;16.25;7.62
85.738.650;4;0.33;16.30;7.62
85.738.700;4;0.28;16.35;7.62
85.738.750;4;0.31;16.40;7.62
85.738.800;4;0.58;16.45;7.62
85.738.850;4;0.84;16.50;7.63
85.738.900;3;0.81;16.55;7.64
85.738.950;3;0.69;16.60;7.65
85.739.000;3;0.60;16.65;7.66
85.739.050;3;0.52;16.70;7.67
85.739.100;3;0.51;16.75;7.67
85.739.150;3;0.55;16.80;7.68
85.739.200;3;0.64;16.85;7.69
85.739.250;3;0.74;16.90;7.70
85.739.300;3;0.78;16.95;7.71
85.739.350;3;0.83;17.00;7.72
85.739.400;3;0.93;17.05;7.73
85.739.450;3;1.04;17.10;7.75
85.739.500;3;1.16;17.15;7.76
85.739.550;3;1.25;17.20;7.78
85.739.600;3;1.28;17.25;7.80
85.739.650;3;1.25;17.30;7.81
85.739.700;3;1.11;17.35;7.83
85.739.750;3;0.93;17.40;7.85
85.739.800;3;0.77;17.45;7.86
85.739.850;3;0.66;17.50;7.87
85.739.900;3;0.65;17.55;7.88
85.739.950;3;0.69;17.60;7.89
85.740.000;3;0.75;17.65;7.90
85.740.050;3;0.78;17.70;7.91
85.740.100;3;0.67;17.75;7.92
85.740.150;3;0.59;17.80;7.92
85.740.200;3;0.74;17.85;7.93
85.740.250;3;0.86;17.90;7.95
85.740.300;3;0.61;17.95;7.96
85.740.350;3;0.41;18.00;7.96
85.740.400;3;0.74;18.05;7.96
85.740.450;3;1.10;18.10;7.97
85.740.500;3;1.04;18.15;7.99
85.740.550;3;0.89;18.20;8.00
85.740.600;3;0.85;18.25;8.01
85.740.650;3;0.82;18.30;8.02
85.740.700;3;0.74;18.35;8.03
85.740.750;3;0.68;18.40;8.04
85.740.800;3;0.72;18.45;8.05
85.740.850;3;0.79;18.50;8.06
85.740.900;4;0.83;18.55;8.08
85.740.950;4;0.85;18.60;8.09
85.741.000;4;0.84;18.65;8.10
85.741.050;4;0.79;18.70;8.11
85.741.100;4;0.61;18.75;8.12
85.741.150;4;0.42;18.80;8.12
85.741.200;4;0.35;18.85;8.12
85.741.250;4;0.35;18.90;8.12
85.741.300;4;0.44;18.95;8.12
85.741.350;4;0.53;19.00;8.12
85.741.400;4;0.53;19.05;8.13
85.741.450;4;0.49;19.10;8.13
85.741.500;4;0.46;19.15;8.13
85.741.550;4;0.43;19.20;8.13
85.741.600;4;0.41;19.25;8.13
85.741.650;4;0.40;19.30;8.13
85.741.700;4;0.38;19.35;8.13
85.741.750;4;0.36;19.40;8.13
85.741.800;4;0.35;19.45;8.13
85.741.850;4;0.37;19.50;8.13
85.741.900;4;0.47;19.55;8.13
85.741.950;4;0.54;19.60;8.13
85.742.000;4;0.44;19.65;8.13
85.742.050;4;0.31;19.70;8.13
85.743.850;4;0.99;19.75;8.31
85.743.900;4;0.86;19.80;8.32
85.743.950;4;0.67;19.85;8.33
85.744.000;4;0.71;19.90;8.34
85.744.050;4;0.75;19.95;8.35
85.744.100;4;0.59;20.00;8.36
85.744.150;4;0.44;20.05;8.36
85.744.200;4;0.49;20.10;8.36
85.744.250;4;0.61;20.15;8.37
85.744.300;4;0.73;20.20;8.38
85.744.350;4;0.80;20.25;8.39
85.744.400;4;0.74;20.30;8.40
85.744.450;4;0.63;20.35;8.41
85.744.500;4;0.59;20.40;8.41
85.744.550;4;0.53;20.45;8.42
85.744.600;4;0.38;20.50;8.42
85.744.650;4;0.25;20.55;8.42
85.744.700;4;0.26;20.60;8.42
85.744.750;4;0.34;20.65;8.42
85.744.800;4;0.47;20.70;8.42
85.744.850;4;0.59;20.75;8.43
85.744.900;4;0.59;20.80;8.43
85.744.950;4;0.56;20.85;8.44
85.745.000;4;0.56;20.90;8.45
85.745.050;4;0.55;20.95;8.46
85.745.100;4;0.49;21.00;8.46
85.745.150;4;0.48;21.05;8.46
85.745.200;4;0.67;21.10;8.46
85.745.250;4;0.92;21.15;8.47
85.745.300;4;1.22;21.20;8.49
85.745.350;4;1.36;21.25;8.50
85.745.400;4;1.02;21.30;8.52
85.745.450;4;0.62;21.35;8.53
85.745.500;4;0.54;21.40;8.54
85.745.550;4;0.56;21.45;8.55
85.745.600;4;0.56;21.50;8.56
85.745.650;4;0.59;21.55;8.56
85.745.700;4;0.70;21.60;8.57
85.745.750;4;0.77;21.65;8.58
85.745.800;4;0.58;21.70;8.59
85.745.850;4;0.40;21.75;8.59
85.745.900;3;0.45;21.80;8.59
85.745.950;3;0.60;21.85;8.60
85.746.000;3;0.84;21.90;8.61
85.746.050;3;1.00;21.95;8.62
85.746.100;3;0.79;22.00;8.63
85.746.150;3;0.51;22.05;8.64
85.746.200;3;0.48;22.10;8.64
85.746.250;3;0.47;22.15;8.64
85.746.300;3;0.34;22.20;8.64
85.746.350;3;0.27;22.25;8.64
85.746.400;3;0.51;22.30;8.64
85.746.450;3;0.72;22.35;8.65
85.746.500;3;0.56;22.40;8.66
85.746.550;3;0.37;22.45;8.66
85.746.600;3;0.41;22.50;8.66
85.746.650;3;0.50;22.55;8.66
85.746.700;3;0.53;22.60;8.66
85.746.750;3;0.52;22.65;8.67
85.746.800;3;0.46;22.70;8.67
85.746.850;3;0.39;22.75;8.67
85.746.900;3;0.38;22.80;8.67
85.746.950;3;0.38;22.85;8.67
85.747.000;3;0.38;22.90;8.67
85.747.050;3;0.37;22.95;8.67
85.747.100;3;0.30;23.00;8.67
85.747.450;3;0.94;23.05;8.70
85.747.500;3;0.74;23.10;8.71
85.747.550;3;0.56;23.15;8.72
85.747.600;3;0.76;23.20;8.73
85.747.650;3;1.06;23.25;8.74
85.747.700;3;1.26;23.30;8.76
85.747.750;3;1.44;23.35;8.78
85.747.800;3;1.42;23.40;8.80
85.747.850;3;1.72;23.45;8.82
85.747.900;3;3.06;23.50;8.85
85.747.950;3;4.65;23.55;8.91
85.748.000;3;6.19;23.60;8.98
85.748.050;3;6.89;23.65;9.07
85.748.100;3;5.19;23.70;9.16
85.748.150;3;3.04;23.75;9.21
85.748.200;3;2.13;23.80;9.25
85.748.250;3;1.63;23.85;9.27
85.748.300;3;1.26;23.90;9.29
85.748.350;3;1.05;23.95;9.31
85.748.400;3;0.97;24.00;9.32
85.748.450;3;0.96;24.05;9.34
85.748.500;3;0.87;24.10;9.35
85.748.550;3;0.94;24.15;9.36
85.748.600;3;1.10;24.20;9.38
85.748.650;3;2.03;24.25;9.40
85.748.700;3;5.37;24.30;9.45
85.748.750;3;8.12;24.35;9.54
85.748.800;3;6.77;24.40;9.65
85.748.850;3;4.51;24.45;9.73
85.748.900;5;3.83;24.50;9.78
85.748.950;5;3.36;24.55;9.83
85.749.000;5;2.38;24.60;9.87
85.749.050;5;1.45;24.65;9.90
85.749.100;5;0.97;24.70;9.92
85.749.150;5;0.69;24.75;9.93
85.749.200;5;0.45;24.80;9.93
85.749.250;5;0.30;24.85;9.93
85.749.300;5;0.26;24.90;9.93
85.749.350;5;0.30;24.95;9.93
85.749.400;5;0.42;25.00;9.93
85.749.450;5;0.51;25.05;9.93
85.749.500;5;0.40;25.10;9.93
85.749.550;5;0.24;25.15;9.93
85.749.600;5;0.20;25.20;9.93
85.749.650;5;0.18;25.25;9.93
85.749.700;5;0.14;25.30;9.93
85.749.750;5;0.12;25.35;9.93
85.749.800;5;0.14;25.40;9.93
85.749.850;5;0.18;25.45;9.93
85.749.900;5;0.21;25.50;9.93
85.749.950;5;0.23;25.55;9.93
85.750.000;5;0.20;25.60;9.93
85.750.050;5;0.19;25.65;9.93
85.750.100;5;0.30;25.70;9.93
85.750.150;5;0.40;25.75;9.93
85.750.550;5;0.85;25.80;9.97
85.750.600;5;1.13;25.85;9.98
85.750.650;5;1.44;25.90;10.00
85.750.700;5;1.95;25.95;10.02
85.750.750;5;2.38;26.00;10.05
85.750.800;5;2.39;26.05;10.08
85.750.850;5;2.40;26.10;10.12
85.750.900;7;3.03;26.15;10.16
85.750.950;7;3.45;26.20;10.20
85.751.000;7;2.76;26.25;10.24
85.751.050;7;1.86;26.30;10.28
85.751.100;7;1.51;26.35;10.30
85.751.150;7;1.27;26.40;10.32
85.751.200;7;0.93;26.45;10.33
85.751.250;7;0.64;26.50;10.34
85.751.300;7;0.51;26.55;10.35
85.751.350;7;0.46;26.60;10.35
85.751.400;7;0.43;26.65;10.35
85.751.450;7;0.43;26.70;10.35
85.751.500;7;0.45;26.75;10.35
85.751.550;7;0.45;26.80;10.35
85.751.600;7;0.38;26.85;10.35
85.751.650;7;0.33;26.90;10.35
85.751.700;7;0.39;26.95;10.35
85.751.750;7;0.47;27.00;10.35
85.751.800;7;0.52;27.05;10.35
85.751.850;7;0.52;27.10;10.36
85.751.900;9;0.41;27.15;10.36
85.751.950;9;0.29;27.20;10.36
85.752.000;9;0.24;27.25;10.36
85.752.050;9;0.22;27.30;10.36
85.752.100;9;0.25;27.35;10.36
85.752.150;9;0.27;27.40;10.36
85.752.200;9;0.25;27.45;10.36
85.752.250;9;0.22;27.50;10.36
85.804.800;8;0.88;27.55;11.24
85.804.850;8;0.98;27.60;11.26
85.804.900;8;1.02;27.65;11.27
85.804.950;8;1.08;27.70;11.29
85.805.000;8;1.28;27.75;11.30
85.805.050;8;1.51;27.80;11.32
85.805.100;8;1.73;27.85;11.34
85.805.150;8;1.92;27.90;11.37
85.805.200;8;2.06;27.95;11.40
85.805.250;8;2.16;28.00;11.43
85.805.300;8;2.23;28.05;11.46
85.805.350;8;2.30;28.10;11.49
85.805.400;8;2.39;28.15;11.52
85.805.450;8;2.57;28.20;11.55
85.805.500;8;2.95;28.25;11.59
85.805.550;8;3.31;28.30;11.64
85.805.600;8;3.35;28.35;11.68
85.805.650;8;3.33;28.40;11.73
85.805.700;8;3.43;28.45;11.78
85.805.750;8;3.59;28.50;11.83
85.805.800;8;3.80;28.55;11.88
85.805.850;8;4.01;28.60;11.93
85.805.900;8;4.09;28.65;11.99
85.805.950;8;4.17;28.70;12.04
85.806.000;8;4.40;28.75;12.10
85.806.050;8;4.62;28.80;12.17
85.806.100;8;4.67;28.85;12.23
85.806.150;8;4.75;28.90;12.30
85.806.200;8;5.06;28.95;12.36
85.806.250;8;5.37;29.00;12.44
85.806.300;8;5.43;29.05;12.51
85.806.350;8;5.45;29.10;12.59
85.806.400;8;5.59;29.15;12.66
85.806.450;8;5.76;29.20;12.74
85.806.500;8;5.93;29.25;12.82
85.806.550;8;6.12;29.30;12.91
85.806.600;8;6.39;29.35;12.99
85.806.650;8;6.68;29.40;13.09
85.806.700;8;6.93;29.45;13.18
85.806.750;8;7.12;29.50;13.28
85.806.800;8;7.21;29.55;13.38
85.806.850;8;7.30;29.60;13.48
85.806.900;7;7.51;29.65;13.58
85.806.950;7;7.77;29.70;13.69
85.807.000;7;8.17;29.75;13.80
85.807.050;7;8.43;29.80;13.91
85.807.100;7;8.21;29.85;14.03
85.807.150;7;7.89;29.90;14.14
85.807.200;7;7.71;29.95;14.25
85.807.250;7;7.69;30.00;14.36
85.807.300;7;8.07;30.05;14.46
85.807.350;7;8.48;30.10;14.58
85.807.400;7;8.46;30.15;14.70
85.807.450;7;8.44;30.20;14.81
85.807.500;7;8.79;30.25;14.93
85.807.550;7;9.28;30.30;15.06
85.807.600;7;9.82;30.35;15.19
85.807.650;7;10.36;30.40;15.33
85.807.700;7;10.82;30.45;15.48
85.807.750;7;11.15;30.50;15.63
85.807.800;7;11.21;30.55;15.79
85.807.850;7;11.22;30.60;15.94
85.807.900;7;11.40;30.65;16.10
85.807.950;7;11.60;30.70;16.26
85.808.000;7;11.72;30.75;16.42
85.808.050;7;11.85;30.80;16.59
85.808.100;7;12.13;30.85;16.75
85.808.150;7;12.36;30.90;16.92
85.808.200;7;12.32;30.95;17.09
85.808.250;7;12.26;31.00;17.26
85.808.300;7;12.40;31.05;17.44
85.808.350;7;12.57;31.10;17.61
85.808.400;7;12.67;31.15;17.78
85.808.450;7;12.75;31.20;17.96
85.808.500;7;12.84;31.25;18.14
85.808.550;7;12.95;31.30;18.32
85.808.600;7;13.12;31.35;18.50
85.808.650;7;13.27;31.40;18.68
85.808.700;7;13.27;31.45;18.87
85.808.750;7;13.26;31.50;19.05
85.808.800;7;13.36;31.55;19.24
85.808.850;7;13.54;31.60;19.42
85.808.900;7;13.85;31.65;19.61
85.808.950;7;14.15;31.70;19.81
85.809.000;7;14.27;31.75;20.00
85.809.050;7;14.35;31.80;20.20
85.809.100;7;14.52;31.85;20.40
85.809.150;7;14.70;31.90;20.61
85.809.200;7;14.85;31.95;20.81
85.809.250;7;15.00;32.00;21.02
85.809.300;7;15.15;32.05;21.23
85.809.350;7;15.30;32.10;21.44
85.809.400;7;15.48;32.15;21.65
85.809.450;7;15.67;32.20;21.87
85.809.500;7;15.92;32.25;22.09
85.809.550;7;16.15;32.30;22.31
85.809.600;7;16.30;32.35;22.54
85.809.650;7;16.43;32.40;22.76
85.809.700;7;16.58;32.45;22.99
85.809.750;7;16.71;32.50;23.22
85.809.800;7;16.73;32.55;23.46
85.809.850;7;16.69;32.60;23.69
85.809.900;9;16.60;32.65;23.92
85.809.950;9;16.48;32.70;24.15
85.810.000;9;16.34;32.75;24.38
85.810.050;9;16.23;32.80;24.60
85.810.100;9;16.18;32.85;24.83
85.810.150;9;16.23;32.90;25.05
85.810.200;9;16.53;32.95;25.28
85.810.250;9;16.77;33.00;25.51
85.810.300;9;16.50;33.05;25.74
85.810.350;9;16.20;33.10;25.97
85.810.400;9;16.35;33.15;26.20
85.810.450;9;16.55;33.20;26.43
85.810.500;9;16.52;33.25;26.66
85.810.550;9;16.46;33.30;26.88
85.810.600;9;16.49;33.35;27.11
85.810.650;9;16.55;33.40;27.34
85.810.700;9;16.57;33.45;27.57
85.810.750;9;16.65;33.50;27.80
85.810.800;9;16.94;33.55;28.04
85.810.850;9;17.26;33.60;28.27
85.810.900;9;17.42;33.65;28.52
85.810.950;9;17.56;33.70;28.76
85.811.000;9;17.78;33.75;29.00
85.811.050;9;18.00;33.80;29.25
85.811.100;9;18.13;33.85;29.50
85.811.150;9;18.26;33.90;29.76
85.811.200;9;18.46;33.95;30.01
85.811.250;9;18.70;34.00;30.27
85.811.300;9;18.98;34.05;30.53
85.811.350;9;19.28;34.10;30.80
85.811.400;9;19.63;34.15;31.07
85.811.450;9;19.93;34.20;31.34
85.811.500;9;20.05;34.25;31.62
85.811.550;9;20.08;34.30;31.90
85.811.600;9;20.04;34.35;32.18
85.811.650;9;20.12;34.40;32.45
85.811.700;9;20.68;34.45;32.74
85.811.750;9;21.30;34.50;33.03
85.811.800;9;21.59;34.55;33.33
85.811.850;9;21.79;34.60;33.63
85.811.900;8;21.97;34.65;33.93
85.811.950;8;22.15;34.70;34.24
85.812.000;8;22.41;34.75;34.55
85.812.050;8;22.69;34.80;34.86
85.812.100;8;22.89;34.85;35.18
