idx,x,y
312,-0.16362204182735218,0.06400956212805553
313,-0.16360645958836864,0.06389120327221093
314,-0.1635896204115925,0.06377301679162876
315,-0.163571562898599,0.06365501041578162
316,-0.16355228894139057,0.06353719650896063
317,-0.16353176401621494,0.06341959399038591
318,-0.16351000870824792,0.06330221285261735
319,-0.16348702540320423,0.06318506596781945
320,-0.16346281662146225,0.06306816618246827
321,-0.16343738501778768,0.06295152631594263
322,-0.16341071530856846,0.06283516339797877
323,-0.16338286463387894,0.06271907747296529
324,-0.16335378183241925,0.0626032939871487
325,-0.16332348816592032,0.0624878213986325
326,-0.16329198695642408,0.06237267237028724
327,-0.1632592816583931,0.062257859529501525
328,-0.16322537585833186,0.062143395466797154
329,-0.1631902555609,0.06202929828552086
330,-0.1631539777559718,0.06191556384510597
331,-0.16311649328327943,0.06180222127042391
332,-0.16307782396691126,0.06168927743969288
333,-0.1630379565818926,0.06157675102644393
334,-0.16299694789471908,0.061464635507254124
335,-0.16295475000786777,0.061352962040065774
336,-0.16291138501431346,0.06124173658316576
337,-0.16286685766951636,0.06113097133367881
338,-0.16282117285640166,0.06102067843826277
339,-0.16277433558482385,0.06091086999177649
340,-0.16272635099101765,0.06080155803595355
341,-0.16267722433703447,0.060692754558081756
342,-0.16262694421392707,0.06058447939339842
343,-0.162575566522351,0.060476720705232634
344,-0.1625230465095757,0.06036951402080175
345,-0.16246940673125082,0.06026286319281696
346,-0.16241463661905028,0.060156788516873824
347,-0.1623587915289269,0.06005127582580773
348,-0.16230181196831447,0.059946371432480695
349,-0.1622437694348629,0.05984205141341715
350,-0.1621846214949233,0.05973835403577679
351,-0.16212439090155073,0.059635281728387425
352,-0.16206308425970845,0.05953284579428905
353,-0.16200070829236063,0.05943105746673621
354,-0.16193726983973497,0.059329927907966054
355,-0.16187277585857274,0.05922946820797434
356,-0.1618072334213657,0.05912968938329925
357,-0.1617406497155807,0.0590306023758133
358,-0.16167303204287142,0.05893221805152349
359,-0.16160438781827766,0.05883454719937965
360,-0.16153472456941217,0.05873760053009138
361,-0.16146404993563526,0.05864138867495346
362,-0.16139237166721693,0.05854592218468
363,-0.16131969762448706,0.058451211528247476
364,-0.16124603577697338,0.05835726709174667
365,-0.1611713942025276,0.05826409917724368
366,-0.16109578108643946,0.058171718001650254
367,-0.1610192047205392,0.05808013369560333
368,-0.16094167350228836,0.057989356302354134
369,-0.16086319593385864,0.05789939577666679
370,-0.1607837806211998,0.05781026198372673
371,-0.16070343627309583,0.057721964698058764
372,-0.16062217170020987,0.057634513602455306
373,-0.16053999581411812,0.05754791828691447
374,-0.16045691762633252,0.05746218824758843
375,-0.16037294624731258,0.057377332885742115
376,-0.16028809088546625,0.05729336150672216
377,-0.16020236084614023,0.05721028331893656
378,-0.1601157655305994,0.057128107432844806
379,-0.16002831443499593,0.057046842859958855
380,-0.15994001714932796,0.056966498511854875
381,-0.1598508833563879,0.056887083199196053
382,-0.15976091070130163,0.05680861968281023
383,-0.15967014543745137,0.05673107441251547
384,-0.15957856113140445,0.056654498046615244
385,-0.15948617995581102,0.0565788849305271
386,-0.15939300051098718,0.05650425790372567
387,-0.15929906760480722,0.05643058150856764
388,-0.1592043569483747,0.05635790746583776
389,-0.15910889045810123,0.05628622919741943
390,-0.1590126786029633,0.05621555456364251
391,-0.15891573193367506,0.05614589131477704
392,-0.1588180610815312,0.056077247090183274
393,-0.15871967675724138,0.05600962941747399
394,-0.15862057947718855,0.05594306117314511
395,-0.15852081092508036,0.05587750327448196
396,-0.15842035122508863,0.05581300929331971
397,-0.15831922166631848,0.055749570840694054
398,-0.15821743333876565,0.055687194873346224
399,-0.15811499740466728,0.05562588823150395
400,-0.1580119250972779,0.05556565763813137
401,-0.15790822771963756,0.05550650969819179
402,-0.157803907700574,0.05544846716474021
403,-0.15769900330724695,0.05539148760412777
404,-0.1575934992163113,0.05533562606347213
405,-0.15748741594023774,0.05528087240180387
406,-0.15738076511225296,0.055227232623479006
407,-0.15727355842782206,0.0551747126107037
408,-0.15716579973965628,0.055123334919127624
409,-0.15705752457497293,0.05507305479602023
410,-0.15694872109710115,0.05502392814203704
411,-0.1568394091412782,0.05497594354823083
412,-0.15672960069479192,0.05492910627665304
413,-0.15661930779937588,0.054883421463538314
414,-0.15650853571641976,0.05483891137811418
415,-0.15639731709298893,0.054795529125186926
416,-0.15628564362580058,0.05475333123833562
417,-0.15617352810661075,0.05471232255116208
418,-0.15606100169336182,0.05467245516614343
419,-0.15594805786263077,0.05463378584977525
420,-0.15583471528794873,0.05459630137708289
421,-0.15572098084753383,0.0545600235721547
422,-0.15560688366625755,0.05452490327472282
423,-0.15549241960355317,0.0544909974746616
424,-0.15537760676276743,0.05445829217663061
425,-0.1552624577344222,0.054426790967134354
426,-0.155146985145906,0.05439649730063543
427,-0.1550312016600894,0.05436741449917574
428,-0.15491511997393642,0.054339545752012205
429,-0.15479875281711208,0.054312894115267005
430,-0.15468211295058643,0.054287462511592444
431,-0.15456521316523525,0.054263253729850455
432,-0.15444806628043736,0.05424027042480676
433,-0.1543306818554577,0.05421853338639089
434,-0.15421308262409406,0.05419799019166412
435,-0.15409526871727308,0.05417871623445568
436,-0.1539772650531545,0.054160640357672166
437,-0.15385907586084377,0.05414381954468604
438,-0.15374071700499917,0.054128237305702515
439,-0.15362220146500305,0.05411389534948968
440,-0.1535035422374199,0.05410079524880468
441,-0.15338475233457124,0.054088938440221154
442,-0.15326584322980283,0.0540783447217959
443,-0.15314683126306944,0.054068978276881424
444,-0.15302772890402444,0.05406084008686074
445,-0.152908545716984,0.05405398662103811
446,-0.15278929904566202,0.05404834450746919
447,-0.1526699984693051,0.054043988529070906
448,-0.15255065979123733,0.05404084496677125
449,-0.1524312943491266,0.05403896982456431
450,-0.15231191581581444,0.054038344754313336
451,-0.1521925372825023,0.05403896982456431
452,-0.15207317184039157,0.05404084496677125
453,-0.15195383257924816,0.05404396997530368
454,-0.15183453258596685,0.05404834450746919
455,-0.15171528494313635,0.054053968083551035
456,-0.15159610389318026,0.05406085861315795
457,-0.15147700036855943,0.054068978276881424
458,-0.15135798840182604,0.0540783447217959
459,-0.15123907929705763,0.05408893844022115
460,-0.15112028939420896,0.05410079524880468
461,-0.15100163016662582,0.05411389534948968
462,-0.15088311462662973,0.05412823730570251
463,-0.15076475577078513,0.05414381954468604
