idx,x,y
0,-0.11846343329821588,-0.007389707062987458
1,-0.1179588928038243,-0.007148370332358098
2,-0.1174540698270949,-0.006896406127069337
3,-0.1169493400424734,-0.006633758587997129
4,-0.1164450829785049,-0.006360383023929954
5,-0.11594168169416721,-0.006076246063932534
6,-0.11543952244767636,-0.005781325800448517
7,-0.11493899435795006,-0.005475611922802602
8,-0.11444048905893713,-0.005159105840764226
9,-0.11394440034703494,-0.00483182079783718
10,-0.11345112382183498,-0.004493781973942651
11,-0.11296105652044994,-0.004145026577166802
12,-0.1124745965456965,-0.0037856039242488127
13,-0.11199214268842518,-0.0034155755094910775
14,-0.11151409404430065,-0.003035015061778848
15,-0.11104084962536265,-0.002644008589405107
16,-0.11057280796670466,-0.0022426544124033825
17,-0.11011036672863404,-0.0018310631821014112
18,-0.10965392229469076,-0.0014093578876183798
19,-0.10920386936591839,-0.0009776738490392747
20,-0.10876060055180158,-0.000536158697012493
21,-0.10832450595830037,-8.497233853006769e-05
22,-0.10789597277342697,0.00037571309133657867
23,-0.10747538485083016,0.0008457132919564413
24,-0.10706312229186715,0.0013248318741096738
25,-0.10665956102666116,0.0018128604515865645
26,-0.10626507239465137,0.0023095787475757752
27,-0.10588002272517033,0.0028147547159799446
28,-0.10550477291858315,0.003328144677780377
29,-0.10513967802854851,0.0038494934725481125
30,-0.10478508684596868,0.0043785346251777515
31,-0.10444134148520529,0.004914990527898341
32,-0.10410877697316219,0.0054585726375870405
33,-0.10378772084182729,0.006008981688392688
34,-0.10347849272489272,0.006565907919644665
35,-0.10318140395907213,0.007129031318998625
36,-0.10289675719074018,0.007698021880743642
37,-0.1026248459885321,0.008272539879164768
38,-0.10236595446253823,0.008852236156829067
39,-0.10212035689073874,0.009436752427631253
40,-0.10188831735332096,0.010025721594407011
41,-0.10167008937552335,0.010618768080891638
42,-0.10146591557965393,0.011215508177768913
43,-0.10127602734692062,0.011815550402527533
44,-0.10110064448971345,0.012418495872808823
45,-0.10093997493497278,0.013023938692898022
46,-0.10079421441926495,0.013631466352982909
47,-0.10066354619618492,0.014240660140769183
48,-0.10054814075669144,0.014851095565012448
49,-0.10044815556296582,0.015462342790497526
50,-0.1003637347963792,0.016073967083961
51,-0.10029500912012637,0.016685529270429312
52,-0.10024209545707802,0.01729658619940943
53,-0.10020509678337594,0.01790669122034469
54,-0.10018410193827872,0.018515394666719247
55,-0.10017918545074309,0.019122244348166884
56,-0.10019040738319852,0.019726786049916713
57,-0.10021781319295217,0.020328564038880132
58,-0.10026143361162962,0.02092712157566264
59,-0.10032128454302813,0.021522001431762083
60,-0.10039736697973248,0.022112746411191438
61,-0.10048966693880654,0.022698899875748798
62,-0.10059815541684616,0.023280006273135874
63,-0.10072278836463763,0.023855611667115074
64,-0.10086350668163913,0.024425264268875084
65,-0.10102023623045625,0.024988514968770137
66,-0.10119288787145453,0.02554491786758014
67,-0.10138135751760553,0.02609403080643706
68,-0.10158552620962982,0.026635415894551873
69,-0.10180526021145475,0.02716864003387686
70,-0.10204041112597118,0.027693275439830363
71,-0.10229081603102451,0.028208900157217956
72,-0.1025562976355412,0.028715098570480935
73,-0.1028366644556471,0.02921146190740999
74,-0.10313171101059279,0.029697588735469627
75,-0.10344121803826033,0.030173085449886457
76,-0.10376495272998586,0.03063756675266638
77,-0.1041026689843898,0.03109065612171954
78,-0.10445410767986815,0.03153198626928751
79,-0.10481899696535651,0.031961199588886435
80,-0.10519705256894477,0.032377948589995265
81,-0.10558797812387283,0.03278189631975013
82,-0.10599146551141633,0.03317271677091453
83,-0.10640719522011716,0.033550095275439985
84,-0.10683483672079426,0.03391372888294373
85,-0.10727404885673121,0.03426332672346706
